Пар (вопрос,модель) с ответами: 56 | к оценке: 56 | пропуск: 0
[1/56] Q-BSL-001 | deepseek-pro -> knows
[2/56] Q-BSL-005 | deepseek-pro -> hallucinates
[3/56] Q-BSL-010 | deepseek-pro -> knows
[4/56] Q-BSL-016 | deepseek-pro -> knows
[5/56] Q-BSL-021 | deepseek-pro -> knows
[6/56] Q-BSL-022 | deepseek-pro -> knows
[7/56] Q-BSL-029 | deepseek-pro -> partial
[8/56] Q-BSL-034 | deepseek-pro -> hallucinates
[9/56] Q-BSL-036 | deepseek-pro -> hallucinates
[10/56] Q-BSL-039 | deepseek-pro -> hallucinates
[11/56] Q-BSL-044 | deepseek-pro -> knows
[12/56] Q-BSL-047 | deepseek-pro -> hallucinates
[13/56] Q-BSL-051 | deepseek-pro -> knows
[14/56] Q-BSL-055 | deepseek-pro -> partial
[15/56] Q-BSL-061 | deepseek-pro -> partial
[16/56] Q-BSL-065 | deepseek-pro -> knows
[17/56] Q-BSL-072 | deepseek-pro -> knows
[18/56] Q-BSL-074 | deepseek-pro -> hallucinates
[19/56] Q-BSL-077 | deepseek-pro -> hallucinates
[20/56] Q-BSL-083 | deepseek-pro -> unstable
[21/56] Q-BSL-086 | deepseek-pro -> partial
[22/56] Q-BSP-001 | deepseek-pro -> knows
[23/56] Q-BSP-002 | deepseek-pro -> knows
[24/56] Q-BSP-003 | deepseek-pro -> hallucinates
[25/56] Q-BSP-004 | deepseek-pro -> hallucinates
[26/56] Q-BSP-005 | deepseek-pro -> hallucinates
[27/56] Q-BSP-033 | deepseek-pro -> hallucinates
[28/56] Q-BSP-034 | deepseek-pro -> hallucinates
[29/56] Q-BSP-035 | deepseek-pro -> hallucinates
[30/56] Q-BSP-036 | deepseek-pro -> hallucinates
[31/56] Q-BSP-037 | deepseek-pro -> hallucinates
[32/56] Q-BSP-046 | deepseek-pro -> hallucinates
[33/56] Q-BSP-047 | deepseek-pro -> hallucinates
[34/56] Q-BSP-048 | deepseek-pro -> knows
[35/56] Q-BSP-049 | deepseek-pro -> unstable
[36/56] Q-BSP-050 | deepseek-pro -> hallucinates
[37/56] Q-BSP-055 | deepseek-pro -> hallucinates
[38/56] Q-BSP-056 | deepseek-pro -> hallucinates
[39/56] Q-BSP-057 | deepseek-pro -> hallucinates
[40/56] Q-BSP-058 | deepseek-pro -> hallucinates
[41/56] Q-BSP-059 | deepseek-pro -> hallucinates
[42/56] Q-BSP-064 | deepseek-pro -> hallucinates
[43/56] Q-BSP-065 | deepseek-pro -> knows
[44/56] Q-BSP-066 | deepseek-pro -> hallucinates
[45/56] Q-BSP-067 | deepseek-pro -> hallucinates
[46/56] Q-BSP-068 | deepseek-pro -> hallucinates
[47/56] Q-BSP-093 | deepseek-pro -> unstable
[48/56] Q-BSP-094 | deepseek-pro -> hallucinates
[49/56] Q-BSP-095 | deepseek-pro -> hallucinates
[50/56] Q-BSP-096 | deepseek-pro -> hallucinates
[51/56] Q-BSP-097 | deepseek-pro -> hallucinates
[52/56] Q-BSP-102 | deepseek-pro -> hallucinates
[53/56] Q-BSP-103 | deepseek-pro -> hallucinates
[54/56] Q-BSP-104 | deepseek-pro -> hallucinates
[55/56] Q-BSP-105 | deepseek-pro -> hallucinates
[56/56] Q-BSP-106 | deepseek-pro -> hallucinates

Оценка завершена. Записано в results/t1-grades-t03/ds-pro/grades.jsonl
