Пар (вопрос,модель) с ответами: 56 | к оценке: 56 | пропуск: 0
[1/56] Q-BSL-001 | haiku -> knows
[2/56] Q-BSL-005 | haiku -> unstable
[3/56] Q-BSL-010 | haiku -> knows
[4/56] Q-BSL-016 | haiku -> partial
[5/56] Q-BSL-021 | haiku -> knows_not
[6/56] Q-BSL-022 | haiku -> unstable
[7/56] Q-BSL-029 | haiku -> partial
[8/56] Q-BSL-034 | haiku -> hallucinates
[9/56] Q-BSL-036 | haiku -> hallucinates
[10/56] Q-BSL-039 | haiku -> unstable
[11/56] Q-BSL-044 | haiku -> knows
[12/56] Q-BSL-047 | haiku -> partial
[13/56] Q-BSL-051 | haiku -> knows
[14/56] Q-BSL-055 | haiku -> partial
[15/56] Q-BSL-061 | haiku -> partial
[16/56] Q-BSL-065 | haiku -> partial
[17/56] Q-BSL-072 | haiku -> knows
[18/56] Q-BSL-074 | haiku -> knows_not
[19/56] Q-BSL-077 | haiku -> hallucinates
[20/56] Q-BSL-083 | haiku -> hallucinates
[21/56] Q-BSL-086 | haiku -> hallucinates
[22/56] Q-BSP-001 | haiku -> knows
[23/56] Q-BSP-002 | haiku -> knows
[24/56] Q-BSP-003 | haiku -> knows_not
[25/56] Q-BSP-004 | haiku -> knows
[26/56] Q-BSP-005 | haiku -> knows
[27/56] Q-BSP-033 | haiku -> knows
[28/56] Q-BSP-034 | haiku -> knows_not
[29/56] Q-BSP-035 | haiku -> knows
[30/56] Q-BSP-036 | haiku -> hallucinates
[31/56] Q-BSP-037 | haiku -> partial
[32/56] Q-BSP-046 | haiku -> knows
[33/56] Q-BSP-047 | haiku -> partial
[34/56] Q-BSP-048 | haiku -> knows
[35/56] Q-BSP-049 | haiku -> partial
[36/56] Q-BSP-050 | haiku -> hallucinates
[37/56] Q-BSP-055 | haiku -> knows
[38/56] Q-BSP-056 | haiku -> partial
[39/56] Q-BSP-057 | haiku -> knows_not
[40/56] Q-BSP-058 | haiku -> knows_not
[41/56] Q-BSP-059 | haiku -> hallucinates
[42/56] Q-BSP-064 | haiku -> unstable
[43/56] Q-BSP-065 | haiku -> partial
[44/56] Q-BSP-066 | haiku -> partial
[45/56] Q-BSP-067 | haiku -> partial
[46/56] Q-BSP-068 | haiku -> knows_not
[47/56] Q-BSP-093 | haiku -> hallucinates
[48/56] Q-BSP-094 | haiku -> unstable
[49/56] Q-BSP-095 | haiku -> knows_not
[50/56] Q-BSP-096 | haiku -> knows_not
[51/56] Q-BSP-097 | haiku -> partial
[52/56] Q-BSP-102 | haiku -> hallucinates
[53/56] Q-BSP-103 | haiku -> knows_not
[54/56] Q-BSP-104 | haiku -> partial
[55/56] Q-BSP-105 | haiku -> knows_not
[56/56] Q-BSP-106 | haiku -> partial

Оценка завершена. Записано в results/t1-grades/haiku/grades.jsonl
