Пар (вопрос,модель) с ответами: 56 | к оценке: 56 | пропуск: 0
[1/56] Q-BSL-001 | deepseek-flash -> knows
[2/56] Q-BSL-005 | deepseek-flash -> hallucinates
[3/56] Q-BSL-010 | deepseek-flash -> knows
[4/56] Q-BSL-016 | deepseek-flash -> knows
[5/56] Q-BSL-021 | deepseek-flash -> partial
[6/56] Q-BSL-022 | deepseek-flash -> knows
[7/56] Q-BSL-029 | deepseek-flash -> partial
[8/56] Q-BSL-034 | deepseek-flash -> hallucinates
[9/56] Q-BSL-036 | deepseek-flash -> knows
[10/56] Q-BSL-039 | deepseek-flash -> hallucinates
[11/56] Q-BSL-044 | deepseek-flash -> knows
[12/56] Q-BSL-047 | deepseek-flash -> knows
[13/56] Q-BSL-051 | deepseek-flash -> knows
[14/56] Q-BSL-055 | deepseek-flash -> partial
[15/56] Q-BSL-061 | deepseek-flash -> unstable
[16/56] Q-BSL-065 | deepseek-flash -> hallucinates
[17/56] Q-BSL-072 | deepseek-flash -> knows
[18/56] Q-BSL-074 | deepseek-flash -> hallucinates
[19/56] Q-BSL-077 | deepseek-flash -> hallucinates
[20/56] Q-BSL-083 | deepseek-flash -> hallucinates
[21/56] Q-BSL-086 | deepseek-flash -> hallucinates
[22/56] Q-BSP-001 | deepseek-flash -> unstable
[23/56] Q-BSP-002 | deepseek-flash -> knows
[24/56] Q-BSP-003 | deepseek-flash -> hallucinates
[25/56] Q-BSP-004 | deepseek-flash -> hallucinates
[26/56] Q-BSP-005 | deepseek-flash -> hallucinates
[27/56] Q-BSP-033 | deepseek-flash -> partial
[28/56] Q-BSP-034 | deepseek-flash -> hallucinates
[29/56] Q-BSP-035 | deepseek-flash -> hallucinates
[30/56] Q-BSP-036 | deepseek-flash -> knows
[31/56] Q-BSP-037 | deepseek-flash -> hallucinates
[32/56] Q-BSP-046 | deepseek-flash -> hallucinates
[33/56] Q-BSP-047 | deepseek-flash -> unstable
[34/56] Q-BSP-048 | deepseek-flash -> knows
[35/56] Q-BSP-049 | deepseek-flash -> partial
[36/56] Q-BSP-050 | deepseek-flash -> knows
[37/56] Q-BSP-055 | deepseek-flash -> hallucinates
[38/56] Q-BSP-056 | deepseek-flash -> hallucinates
[39/56] Q-BSP-057 | deepseek-flash -> hallucinates
[40/56] Q-BSP-058 | deepseek-flash -> knows
[41/56] Q-BSP-059 | deepseek-flash -> hallucinates
[42/56] Q-BSP-064 | deepseek-flash -> hallucinates
[43/56] Q-BSP-065 | deepseek-flash -> knows
[44/56] Q-BSP-066 | deepseek-flash -> hallucinates
[45/56] Q-BSP-067 | deepseek-flash -> hallucinates
[46/56] Q-BSP-068 | deepseek-flash -> hallucinates
[47/56] Q-BSP-093 | deepseek-flash -> unstable
[48/56] Q-BSP-094 | deepseek-flash -> hallucinates
[49/56] Q-BSP-095 | deepseek-flash -> knows
[50/56] Q-BSP-096 | deepseek-flash -> hallucinates
[51/56] Q-BSP-097 | deepseek-flash -> hallucinates
[52/56] Q-BSP-102 | deepseek-flash -> hallucinates
[53/56] Q-BSP-103 | deepseek-flash -> hallucinates
[54/56] Q-BSP-104 | deepseek-flash -> hallucinates
[55/56] Q-BSP-105 | deepseek-flash -> hallucinates
[56/56] Q-BSP-106 | deepseek-flash -> hallucinates

Оценка завершена. Записано в results/t1-grades/ds-flash/grades.jsonl
