Пар (вопрос,модель) с ответами: 56 | к оценке: 56 | пропуск: 0
[1/56] Q-BSL-001 | sonnet -> knows
[2/56] Q-BSL-005 | sonnet -> knows_not
[3/56] Q-BSL-010 | sonnet -> knows
[4/56] Q-BSL-016 | sonnet -> knows
[5/56] Q-BSL-021 | sonnet -> knows
[6/56] Q-BSL-022 | sonnet -> partial
[7/56] Q-BSL-029 | sonnet -> partial
[8/56] Q-BSL-034 | sonnet -> hallucinates
[9/56] Q-BSL-036 | sonnet -> knows
[10/56] Q-BSL-039 | sonnet -> partial
[11/56] Q-BSL-044 | sonnet -> knows
[12/56] Q-BSL-047 | sonnet -> knows
[13/56] Q-BSL-051 | sonnet -> knows
[14/56] Q-BSL-055 | sonnet -> partial
[15/56] Q-BSL-061 | sonnet -> knows
[16/56] Q-BSL-065 | sonnet -> knows
[17/56] Q-BSL-072 | sonnet -> knows
[18/56] Q-BSL-074 | sonnet -> partial
[19/56] Q-BSL-077 | sonnet -> hallucinates
[20/56] Q-BSL-083 | sonnet -> partial
[21/56] Q-BSL-086 | sonnet -> partial
[22/56] Q-BSP-001 | sonnet -> knows
[23/56] Q-BSP-002 | sonnet -> knows
[24/56] Q-BSP-003 | sonnet -> hallucinates
[25/56] Q-BSP-004 | sonnet -> knows
[26/56] Q-BSP-005 | sonnet -> knows
[27/56] Q-BSP-033 | sonnet -> knows
[28/56] Q-BSP-034 | sonnet -> hallucinates
[29/56] Q-BSP-035 | sonnet -> unstable
[30/56] Q-BSP-036 | sonnet -> knows
[31/56] Q-BSP-037 | sonnet -> unstable
[32/56] Q-BSP-046 | sonnet -> knows
[33/56] Q-BSP-047 | sonnet -> knows
[34/56] Q-BSP-048 | sonnet -> knows
[35/56] Q-BSP-049 | sonnet -> partial
[36/56] Q-BSP-050 | sonnet -> partial
[37/56] Q-BSP-055 | sonnet -> partial
[38/56] Q-BSP-056 | sonnet -> partial
[39/56] Q-BSP-057 | sonnet -> partial
[40/56] Q-BSP-058 | sonnet -> hallucinates
[41/56] Q-BSP-059 | sonnet -> hallucinates
[42/56] Q-BSP-064 | sonnet -> knows
[43/56] Q-BSP-065 | sonnet -> knows
[44/56] Q-BSP-066 | sonnet -> hallucinates
[45/56] Q-BSP-067 | sonnet -> partial
[46/56] Q-BSP-068 | sonnet -> hallucinates
[47/56] Q-BSP-093 | sonnet -> hallucinates
[48/56] Q-BSP-094 | sonnet -> knows
[49/56] Q-BSP-095 | sonnet -> knows
[50/56] Q-BSP-096 | sonnet -> hallucinates
[51/56] Q-BSP-097 | sonnet -> hallucinates
[52/56] Q-BSP-102 | sonnet -> knows_not
[53/56] Q-BSP-103 | sonnet -> hallucinates
[54/56] Q-BSP-104 | sonnet -> partial
[55/56] Q-BSP-105 | sonnet -> knows_not
[56/56] Q-BSP-106 | sonnet -> hallucinates

Оценка завершена. Записано в results/t1-grades/sonnet/grades.jsonl
