[57/504] Q-BSL-034 | opus | rep 2/3 ERROR: claude CLI таймаут (120s), модель opus
[67/504] Q-BSL-039 | haiku | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[68/504] Q-BSL-039 | haiku | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[69/504] Q-BSL-039 | sonnet | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[70/504] Q-BSL-039 | sonnet | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[71/504] Q-BSL-039 | sonnet | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[72/504] Q-BSL-039 | opus | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[73/504] Q-BSL-039 | opus | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[74/504] Q-BSL-039 | opus | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[75/504] Q-BSL-044 | haiku | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[76/504] Q-BSL-044 | haiku | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[77/504] Q-BSL-044 | haiku | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[78/504] Q-BSL-044 | sonnet | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[79/504] Q-BSL-044 | sonnet | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[80/504] Q-BSL-044 | sonnet | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[81/504] Q-BSL-044 | opus | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[82/504] Q-BSL-044 | opus | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[83/504] Q-BSL-044 | opus | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[84/504] Q-BSL-047 | haiku | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[85/504] Q-BSL-047 | haiku | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[86/504] Q-BSL-047 | haiku | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[87/504] Q-BSL-047 | sonnet | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[88/504] Q-BSL-047 | sonnet | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[89/504] Q-BSL-047 | sonnet | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[90/504] Q-BSL-047 | opus | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[91/504] Q-BSL-047 | opus | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[92/504] Q-BSL-047 | opus | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[93/504] Q-BSL-051 | haiku | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[94/504] Q-BSL-051 | haiku | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[95/504] Q-BSL-051 | haiku | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[96/504] Q-BSL-051 | sonnet | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[97/504] Q-BSL-051 | sonnet | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[98/504] Q-BSL-051 | sonnet | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[99/504] Q-BSL-051 | opus | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[100/504] Q-BSL-051 | opus | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[101/504] Q-BSL-051 | opus | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[102/504] Q-BSL-055 | haiku | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[103/504] Q-BSL-055 | haiku | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[104/504] Q-BSL-055 | haiku | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
