Файлов вопросов: 2 | вопросов: 56 | моделей: 2 | повторов: до 3 (адаптивно)
Всего ячеек: 336 | к выполнению: до 336 | пропуск (resume): 0
Модели: deepseek-pro, deepseek-flash
Результаты: results/t1-deepseek-t03/answers.jsonl
[1/336] Q-BSL-001 | deepseek-pro | rep 1/3 OK (5s)
[2/336] Q-BSL-001 | deepseek-pro | rep 2/3 OK (5s)
Q-BSL-001 | deepseek-pro | rep 3/3 SKIP (первые два ответа семантически совпали)
[3/336] Q-BSL-001 | deepseek-flash | rep 1/3 OK (2s)
[4/336] Q-BSL-001 | deepseek-flash | rep 2/3 OK (2s)
Q-BSL-001 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[5/336] Q-BSL-005 | deepseek-pro | rep 1/3 OK (9s)
[6/336] Q-BSL-005 | deepseek-pro | rep 2/3 OK (9s)
[7/336] Q-BSL-005 | deepseek-pro | rep 3/3 OK (4s)
[8/336] Q-BSL-005 | deepseek-flash | rep 1/3 OK (3s)
[9/336] Q-BSL-005 | deepseek-flash | rep 2/3 OK (3s)
Q-BSL-005 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[10/336] Q-BSL-010 | deepseek-pro | rep 1/3 OK (4s)
[11/336] Q-BSL-010 | deepseek-pro | rep 2/3 OK (4s)
Q-BSL-010 | deepseek-pro | rep 3/3 SKIP (первые два ответа семантически совпали)
[12/336] Q-BSL-010 | deepseek-flash | rep 1/3 OK (3s)
[13/336] Q-BSL-010 | deepseek-flash | rep 2/3 OK (3s)
Q-BSL-010 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[14/336] Q-BSL-016 | deepseek-pro | rep 1/3 OK (7s)
[15/336] Q-BSL-016 | deepseek-pro | rep 2/3 OK (6s)
Q-BSL-016 | deepseek-pro | rep 3/3 SKIP (первые два ответа семантически совпали)
[16/336] Q-BSL-016 | deepseek-flash | rep 1/3 OK (4s)
[17/336] Q-BSL-016 | deepseek-flash | rep 2/3 OK (4s)
Q-BSL-016 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[18/336] Q-BSL-021 | deepseek-pro | rep 1/3 OK (5s)
[19/336] Q-BSL-021 | deepseek-pro | rep 2/3 OK (8s)
[20/336] Q-BSL-021 | deepseek-pro | rep 3/3 OK (5s)
[21/336] Q-BSL-021 | deepseek-flash | rep 1/3 OK (3s)
[22/336] Q-BSL-021 | deepseek-flash | rep 2/3 OK (3s)
