Пар (вопрос,модель) с ответами: 56 | к оценке: 56 | пропуск: 0
[1/56] Q-BSL-001 | gpt-5.4-mini -> knows
[2/56] Q-BSL-005 | gpt-5.4-mini -> knows
[3/56] Q-BSL-010 | gpt-5.4-mini -> knows
[4/56] Q-BSL-016 | gpt-5.4-mini -> knows
[5/56] Q-BSL-021 | gpt-5.4-mini -> knows_not
[6/56] Q-BSL-022 | gpt-5.4-mini -> knows
[7/56] Q-BSL-029 | gpt-5.4-mini -> partial
[8/56] Q-BSL-034 | gpt-5.4-mini -> knows_not
[9/56] Q-BSL-036 | gpt-5.4-mini -> knows
[10/56] Q-BSL-039 | gpt-5.4-mini -> partial
[11/56] Q-BSL-044 | gpt-5.4-mini -> knows
[12/56] Q-BSL-047 | gpt-5.4-mini -> knows
[13/56] Q-BSL-051 | gpt-5.4-mini -> knows
[14/56] Q-BSL-055 | gpt-5.4-mini -> partial
[15/56] Q-BSL-061 | gpt-5.4-mini -> knows
[16/56] Q-BSL-065 | gpt-5.4-mini -> knows
[17/56] Q-BSL-072 | gpt-5.4-mini -> knows
[18/56] Q-BSL-074 | gpt-5.4-mini -> partial
[19/56] Q-BSL-077 | gpt-5.4-mini -> unstable
[20/56] Q-BSL-083 | gpt-5.4-mini -> knows
[21/56] Q-BSL-086 | gpt-5.4-mini -> partial
[22/56] Q-BSP-001 | gpt-5.4-mini -> knows
[23/56] Q-BSP-002 | gpt-5.4-mini -> knows_not
[24/56] Q-BSP-003 | gpt-5.4-mini -> unstable
[25/56] Q-BSP-004 | gpt-5.4-mini -> partial
[26/56] Q-BSP-005 | gpt-5.4-mini -> hallucinates
[27/56] Q-BSP-033 | gpt-5.4-mini -> partial
[28/56] Q-BSP-034 | gpt-5.4-mini -> knows_not
[29/56] Q-BSP-035 | gpt-5.4-mini -> partial
[30/56] Q-BSP-036 | gpt-5.4-mini -> hallucinates
[31/56] Q-BSP-037 | gpt-5.4-mini -> partial
[32/56] Q-BSP-046 | gpt-5.4-mini -> knows
[33/56] Q-BSP-047 | gpt-5.4-mini -> partial
[34/56] Q-BSP-048 | gpt-5.4-mini -> knows
[35/56] Q-BSP-049 | gpt-5.4-mini -> partial
[36/56] Q-BSP-050 | gpt-5.4-mini -> partial
[37/56] Q-BSP-055 | gpt-5.4-mini -> hallucinates
[38/56] Q-BSP-056 | gpt-5.4-mini -> unstable
[39/56] Q-BSP-057 | gpt-5.4-mini -> unstable
[40/56] Q-BSP-058 | gpt-5.4-mini -> knows
[41/56] Q-BSP-059 | gpt-5.4-mini -> unstable
[42/56] Q-BSP-064 | gpt-5.4-mini -> partial
[43/56] Q-BSP-065 | gpt-5.4-mini -> knows
[44/56] Q-BSP-066 | gpt-5.4-mini -> partial
[45/56] Q-BSP-067 | gpt-5.4-mini -> knows_not
[46/56] Q-BSP-068 | gpt-5.4-mini -> hallucinates
[47/56] Q-BSP-093 | gpt-5.4-mini -> hallucinates
[48/56] Q-BSP-094 | gpt-5.4-mini -> hallucinates
[49/56] Q-BSP-095 | gpt-5.4-mini -> knows
[50/56] Q-BSP-096 | gpt-5.4-mini -> knows_not
[51/56] Q-BSP-097 | gpt-5.4-mini -> unstable
[52/56] Q-BSP-102 | gpt-5.4-mini -> partial
[53/56] Q-BSP-103 | gpt-5.4-mini -> knows_not
[54/56] Q-BSP-104 | gpt-5.4-mini -> partial
[55/56] Q-BSP-105 | gpt-5.4-mini -> knows_not
[56/56] Q-BSP-106 | gpt-5.4-mini -> partial

Оценка завершена. Записано в results/t1-grades/gpt-mini/grades.jsonl
