question_id,category,source_file,tier,expected_in_weights,deepseek-flash,deepseek-pro,gpt-5.4-mini,gpt-5.5,haiku,opus,sonnet
Q-BSL-001,BSL,framework/skills/bsl-practices/api-design/SKILL.md,1,нет,knows,knows,knows,knows,knows,knows,knows
Q-BSL-005,BSL,framework/skills/bsl-practices/background-jobs/SKILL.md,1,нет,hallucinates,unstable,knows,knows,unstable,knows,knows_not
Q-BSL-010,BSL,framework/skills/bsl-practices/coding-standards/SKILL.md,1,частично,knows,knows,knows,knows,knows,knows,knows
Q-BSL-016,BSL,framework/skills/bsl-practices/data-exchange/SKILL.md,1,нет,knows,knows,knows,knows,partial,knows,knows
Q-BSL-021,BSL,framework/skills/bsl-practices/error-handling/SKILL.md,1,нет,partial,knows,knows_not,knows,knows_not,partial,knows
Q-BSL-022,BSL,framework/skills/bsl-practices/error-handling/SKILL.md,1,нет,knows,knows,knows,partial,unstable,knows,partial
Q-BSL-029,BSL,framework/skills/bsl-practices/form-patterns/SKILL.md,1,частично,partial,knows,partial,partial,partial,knows,partial
Q-BSL-034,BSL,framework/skills/bsl-practices/form-patterns/references/learned-patterns.md,1,нет,hallucinates,unstable,knows_not,partial,hallucinates,hallucinates,hallucinates
Q-BSL-036,BSL,framework/skills/bsl-practices/form-visual-requirements/SKILL.md,1,да,knows,hallucinates,knows,knows,hallucinates,knows,knows
Q-BSL-039,BSL,framework/skills/bsl-practices/integration-patterns/SKILL.md,1,частично,hallucinates,hallucinates,partial,partial,unstable,unstable,partial
Q-BSL-044,BSL,framework/skills/bsl-practices/security/references/auth.md,1,нет,knows,knows,knows,knows,knows,knows,knows
Q-BSL-047,BSL,framework/skills/bsl-practices/metadata-object-design/SKILL.md,1,частично,knows,knows,knows,knows,partial,unstable,knows
Q-BSL-051,BSL,framework/skills/bsl-practices/query-optimize/SKILL.md,1,частично,knows,knows,knows,knows,knows,knows,knows
Q-BSL-055,BSL,framework/skills/bsl-practices/query-patterns/SKILL.md,1,да,partial,partial,partial,partial,partial,partial,partial
Q-BSL-061,BSL,framework/skills/bsl-practices/security/SKILL.md,1,частично,unstable,knows,knows,knows,partial,unstable,knows
Q-BSL-065,BSL,framework/skills/bsl-practices/security/references/auth.md,1,частично,hallucinates,knows,knows,knows,partial,knows,knows
Q-BSL-072,BSL,framework/skills/bsl-practices/security/references/review-checklist.md,1,частично,knows,knows,knows,knows,knows,knows,knows
