[32/336] Q-BSL-034 | gpt-5.4-mini | rep 1/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[81/336] Q-BSL-077 | gpt-5.4-mini | rep 1/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[82/336] Q-BSL-077 | gpt-5.4-mini | rep 2/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[83/336] Q-BSL-077 | gpt-5.4-mini | rep 3/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
Файлов вопросов: 2 | вопросов: 56 | моделей: 2 | повторов: до 3 (адаптивно)
Всего ячеек: 336 | к выполнению: до 336 | пропуск (resume): 0
Модели: gpt-5.5, gpt-5.4-mini
Результаты: results/t1-gpt/answers.jsonl
[1/336] Q-BSL-001 | gpt-5.5 | rep 1/3 OK (21s)
[2/336] Q-BSL-001 | gpt-5.5 | rep 2/3 OK (32s)
Q-BSL-001 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[3/336] Q-BSL-001 | gpt-5.4-mini | rep 1/3 OK (99s)
[4/336] Q-BSL-001 | gpt-5.4-mini | rep 2/3 OK (73s)
Q-BSL-001 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[5/336] Q-BSL-005 | gpt-5.5 | rep 1/3 OK (45s)
[6/336] Q-BSL-005 | gpt-5.5 | rep 2/3 OK (34s)
Q-BSL-005 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[7/336] Q-BSL-005 | gpt-5.4-mini | rep 1/3 OK (67s)
[8/336] Q-BSL-005 | gpt-5.4-mini | rep 2/3 OK (69s)
Q-BSL-005 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[9/336] Q-BSL-010 | gpt-5.5 | rep 1/3 OK (34s)
[10/336] Q-BSL-010 | gpt-5.5 | rep 2/3 OK (38s)
Q-BSL-010 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[11/336] Q-BSL-010 | gpt-5.4-mini | rep 1/3 OK (83s)
[12/336] Q-BSL-010 | gpt-5.4-mini | rep 2/3 OK (43s)
Q-BSL-010 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[13/336] Q-BSL-016 | gpt-5.5 | rep 1/3 OK (31s)
[14/336] Q-BSL-016 | gpt-5.5 | rep 2/3 OK (33s)
Q-BSL-016 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[15/336] Q-BSL-016 | gpt-5.4-mini | rep 1/3 OK (63s)
