Пар (вопрос,модель) с ответами: 56 | к оценке: 56 | пропуск: 0
[1/56] Q-BSL-001 | opus -> knows
[2/56] Q-BSL-005 | opus -> knows
[3/56] Q-BSL-010 | opus -> knows
[4/56] Q-BSL-016 | opus -> knows
[5/56] Q-BSL-021 | opus -> partial
[6/56] Q-BSL-022 | opus -> knows
[7/56] Q-BSL-029 | opus -> knows
[8/56] Q-BSL-034 | opus -> hallucinates
[9/56] Q-BSL-036 | opus -> knows
[10/56] Q-BSL-039 | opus -> unstable
[11/56] Q-BSL-044 | opus -> knows
[12/56] Q-BSL-047 | opus -> unstable
[13/56] Q-BSL-051 | opus -> knows
[14/56] Q-BSL-055 | opus -> partial
[15/56] Q-BSL-061 | opus -> unstable
[16/56] Q-BSL-065 | opus -> knows
[17/56] Q-BSL-072 | opus -> knows
[18/56] Q-BSL-074 | opus -> unstable
[19/56] Q-BSL-077 | opus -> partial
[20/56] Q-BSL-083 | opus -> partial
[21/56] Q-BSL-086 | opus -> partial
[22/56] Q-BSP-001 | opus -> knows
[23/56] Q-BSP-002 | opus -> knows
[24/56] Q-BSP-003 | opus -> unstable
[25/56] Q-BSP-004 | opus -> knows
[26/56] Q-BSP-005 | opus -> knows
[27/56] Q-BSP-033 | opus -> knows
[28/56] Q-BSP-034 | opus -> hallucinates
[29/56] Q-BSP-035 | opus -> partial
[30/56] Q-BSP-036 | opus -> knows
[31/56] Q-BSP-037 | opus -> unstable
[32/56] Q-BSP-046 | opus -> partial
[33/56] Q-BSP-047 | opus -> knows
[34/56] Q-BSP-048 | opus -> knows
[35/56] Q-BSP-049 | opus -> partial
[36/56] Q-BSP-050 | opus -> unstable
[37/56] Q-BSP-055 | opus -> hallucinates
[38/56] Q-BSP-056 | opus -> partial
[39/56] Q-BSP-057 | opus -> knows
[40/56] Q-BSP-058 | opus -> hallucinates
[41/56] Q-BSP-059 | opus -> hallucinates
[42/56] Q-BSP-064 | opus -> knows
[43/56] Q-BSP-065 | opus -> knows
[44/56] Q-BSP-066 | opus -> partial
[45/56] Q-BSP-067 | opus -> partial
[46/56] Q-BSP-068 | opus -> hallucinates
[47/56] Q-BSP-093 | opus -> hallucinates
[48/56] Q-BSP-094 | opus -> knows
[49/56] Q-BSP-095 | opus -> knows
[50/56] Q-BSP-096 | opus -> knows_not
[51/56] Q-BSP-097 | opus -> partial
[52/56] Q-BSP-102 | opus -> knows_not
[53/56] Q-BSP-103 | opus -> hallucinates
[54/56] Q-BSP-104 | opus -> unstable
[55/56] Q-BSP-105 | opus -> knows_not
[56/56] Q-BSP-106 | opus -> unstable

Оценка завершена. Записано в results/t1-grades/opus/grades.jsonl
